,ThunderstormWind_Count,Tornado_Count,ThunderstormWind_Deaths,Tornado_Deaths,ThunderstormWind_Injuries,Tornado_Injuries,ThunderstormWind_PropertyDamages,Tornado_PropertyDamages,CoastalFlood_Count,StormSurge/Tide_Count,CoastalFlood_Deaths,StormSurge/Tide_Deaths,CoastalFlood_Injuries,StormSurge/Tide_Injuries,CoastalFlood_PropertyDamages,StormSurge/Tide_PropertyDamages,Hurricane_Count,TropicalDepression_Count,TropicalStorm_Count,Hurricane_Deaths,TropicalDepression_Deaths,TropicalStorm_Deaths,Hurricane_Injuries,TropicalDepression_Injuries,TropicalStorm_Injuries,Hurricane_PropertyDamages,TropicalDepression_PropertyDamages,TropicalStorm_PropertyDamages,Flood_Count,Hail_Count,Flood_Deaths,Hail_Deaths,Flood_Injuries,Hail_Injuries,Flood_PropertyDamages,Hail_PropertyDamages,Avg_Hail_Size,Avg_ThWind_Speed,Avg_Tor_EF
cluster_1,0.7539519699947508,0.7539519699947508,0.7539519699947508,0.7539519699947508,0.7539519699947508,0.7539519699947508,0.7539519699947508,0.7539519699947508,0.7539519699947508,0.7539519699947508,0.7539519699947508,0.7539519699947508,0.7539519699947508,0.7539519699947508,0.7539519699947508,0.7539519699947508,0.7539519699947508,0.7539519699947508,0.7539519699947508,0.7539519699947508,0.7539519699947508,0.7539519699947508,0.7539519699947508,0.7539519699947508,0.7539519699947508,0.7539519699947508,0.7539519699947508,0.7539519699947508,0.7539519699947508,0.7539519699947508,0.7539519699947508,0.7539519699947508,0.7539519699947508,0.7539519699947508,0.7539519699947508,0.7539519699947508,0.7539519699947508,0.7539519699947508,0.7539519699947508
cluster_2,0.49478284873021716,0.49478284873021716,0.49478284873021716,0.49478284873021716,0.49478284873021716,0.49478284873021716,0.49478284873021716,0.49478284873021716,0.49478284873021716,0.49478284873021716,0.49478284873021716,0.49478284873021716,0.49478284873021716,0.49478284873021716,0.49478284873021716,0.49478284873021716,0.49478284873021716,0.49478284873021716,0.49478284873021716,0.49478284873021716,0.49478284873021716,0.49478284873021716,0.49478284873021716,0.49478284873021716,0.49478284873021716,0.49478284873021716,0.49478284873021716,0.49478284873021716,0.49478284873021716,0.49478284873021716,0.49478284873021716,0.49478284873021716,0.49478284873021716,0.49478284873021716,0.49478284873021716,0.49478284873021716,0.49478284873021716,0.49478284873021716,0.49478284873021716
cluster_3,0.7912673391400296,0.7912673391400296,0.7912673391400296,0.7912673391400296,0.7912673391400296,0.7912673391400296,0.7912673391400296,0.7912673391400296,0.7912673391400296,0.7912673391400296,0.7912673391400296,0.7912673391400296,0.7912673391400296,0.7912673391400296,0.7912673391400296,0.7912673391400296,0.7912673391400296,0.7912673391400296,0.7912673391400296,0.7912673391400296,0.7912673391400296,0.7912673391400296,0.7912673391400296,0.7912673391400296,0.7912673391400296,0.7912673391400296,0.7912673391400296,0.7912673391400296,0.7912673391400296,0.7912673391400296,0.7912673391400296,0.7912673391400296,0.7912673391400296,0.7912673391400296,0.7912673391400296,0.7912673391400296,0.7912673391400296,0.7912673391400296,0.7912673391400296
cluster_4,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
cluster_5,0.7297297297297297,0.7297297297297297,0.7297297297297297,0.7297297297297297,0.7297297297297297,0.7297297297297297,0.7297297297297297,0.7297297297297297,0.7297297297297297,0.7297297297297297,0.7297297297297297,0.7297297297297297,0.7297297297297297,0.7297297297297297,0.7297297297297297,0.7297297297297297,0.7297297297297297,0.7297297297297297,0.7297297297297297,0.7297297297297297,0.7297297297297297,0.7297297297297297,0.7297297297297297,0.7297297297297297,0.7297297297297297,0.7297297297297297,0.7297297297297297,0.7297297297297297,0.7297297297297297,0.7297297297297297,0.7297297297297297,0.7297297297297297,0.7297297297297297,0.7297297297297297,0.7297297297297297,0.7297297297297297,0.7297297297297297,0.7297297297297297,0.7297297297297297
cluster_6,1.018249318579721,1.018249318579721,1.018249318579721,1.018249318579721,1.018249318579721,1.018249318579721,1.018249318579721,1.018249318579721,1.018249318579721,1.018249318579721,1.018249318579721,1.018249318579721,1.018249318579721,1.018249318579721,1.018249318579721,1.018249318579721,1.018249318579721,1.018249318579721,1.018249318579721,1.018249318579721,1.018249318579721,1.018249318579721,1.018249318579721,1.018249318579721,1.018249318579721,1.018249318579721,1.018249318579721,1.018249318579721,1.018249318579721,1.018249318579721,1.018249318579721,1.018249318579721,1.018249318579721,1.018249318579721,1.018249318579721,1.018249318579721,1.018249318579721,1.018249318579721,1.018249318579721
cluster_7,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884
cluster_8,0.5036094224924013,0.5036094224924013,0.5036094224924013,0.5036094224924013,0.5036094224924013,0.5036094224924013,0.5036094224924013,0.5036094224924013,0.5036094224924013,0.5036094224924013,0.5036094224924013,0.5036094224924013,0.5036094224924013,0.5036094224924013,0.5036094224924013,0.5036094224924013,0.5036094224924013,0.5036094224924013,0.5036094224924013,0.5036094224924013,0.5036094224924013,0.5036094224924013,0.5036094224924013,0.5036094224924013,0.5036094224924013,0.5036094224924013,0.5036094224924013,0.5036094224924013,0.5036094224924013,0.5036094224924013,0.5036094224924013,0.5036094224924013,0.5036094224924013,0.5036094224924013,0.5036094224924013,0.5036094224924013,0.5036094224924013,0.5036094224924013,0.5036094224924013
cluster_9,0.9864438839848675,0.9864438839848675,0.9864438839848675,0.9864438839848675,0.9864438839848675,0.9864438839848675,0.9864438839848675,0.9864438839848675,0.9864438839848675,0.9864438839848675,0.9864438839848675,0.9864438839848675,0.9864438839848675,0.9864438839848675,0.9864438839848675,0.9864438839848675,0.9864438839848675,0.9864438839848675,0.9864438839848675,0.9864438839848675,0.9864438839848675,0.9864438839848675,0.9864438839848675,0.9864438839848675,0.9864438839848675,0.9864438839848675,0.9864438839848675,0.9864438839848675,0.9864438839848675,0.9864438839848675,0.9864438839848675,0.9864438839848675,0.9864438839848675,0.9864438839848675,0.9864438839848675,0.9864438839848675,0.9864438839848675,0.9864438839848675,0.9864438839848675
cluster_10,0.8114285714285714,0.8114285714285714,0.8114285714285714,0.8114285714285714,0.8114285714285714,0.8114285714285714,0.8114285714285714,0.8114285714285714,0.8114285714285714,0.8114285714285714,0.8114285714285714,0.8114285714285714,0.8114285714285714,0.8114285714285714,0.8114285714285714,0.8114285714285714,0.8114285714285714,0.8114285714285714,0.8114285714285714,0.8114285714285714,0.8114285714285714,0.8114285714285714,0.8114285714285714,0.8114285714285714,0.8114285714285714,0.8114285714285714,0.8114285714285714,0.8114285714285714,0.8114285714285714,0.8114285714285714,0.8114285714285714,0.8114285714285714,0.8114285714285714,0.8114285714285714,0.8114285714285714,0.8114285714285714,0.8114285714285714,0.8114285714285714,0.8114285714285714
